Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.96,42.6,-51.8,4.45,0.67,1.105862,0.601188
0.98,42.2,-50.2,3.88,0.93,1.117322,0.767933
0.77,41,-48.9,3.54,0.83,0.9904,0.645406
0.97,41.7,-48.2,3.8,0.94,1.111606,0.788668
0.4,45.4,-46.9,2.84,0.57,0.713831,0.394362
0.82,44.8,-46.5,3.59,0.94,1.02205,0.687329
0.3,45,-44.9,2.48,0.37,0.618195,0.337697
0.22,44.9,-45.8,1.88,0.53,0.529391,0.349216
1.18,44.1,-44.5,4.86,0.77,1.226044,0.680531
0.08,44.7,-44.3,1.1,0.28,0.319235,0.223326
0.66,36.2,-46.2,3.06,0.71,0.916932,0.686889
0.34,36.4,-45.4,2.43,0.49,0.658119,0.406326
0.33,35.9,-45.4,2.27,0.5,0.648369,0.438876
0.51,35.8,-44.6,2.82,0.75,0.806028,0.546194
0.09,36.4,-44.6,1.22,0.26,0.3386,0.218096
0.44,31.5,-45.7,2.95,0.5,0.748672,0.419231
0.44,30.6,-45.3,2.63,0.54,0.748672,0.503505
0.51,32.4,-43.6,2.81,0.61,0.806028,0.549903
0.91,32.8,-42.8,3.9,0.77,1.076678,0.685712
0.5,31.6,-42.7,2.83,0.61,0.798087,0.527573
0.88,31.9,-41.8,3.6,1.01,1.058782,0.759868
1.07,31.9,-40.5,4.33,0.81,1.1675,0.715387
0.42,33,-41,2.46,0.66,0.731459,0.53806
0.65,33.8,-41.3,3.33,0.84,0.909959,0.569817
0.33,33,-41.9,2.14,0.55,0.648369,0.499692
0.26,40.5,-42.4,2.1,0.45,0.575509,0.362298
0.87,39.3,-40.6,4.23,0.8,1.052749,0.573496
0.48,48.6,-41.7,3.12,0.72,0.781962,0.430235
1.07,47.2,-41.7,4,1.04,1.1675,0.824451
0.74,46,-41.6,3.14,0.84,0.970915,0.795233
0.33,46.2,-40.4,2.25,0.48,0.648369,0.446395
